GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SudokuSolver,pl.first.sudoku.sudokusolver,SudokuBoard,5,287,1,49,1,53,1,34,0,10
SudokuSolver,pl.first.sudoku.sudokusolver,SudokuSolver,65,0,14,0,17,0,10,0,3,0
